YEAR,DATE,CAT,RACE,WINNER,RACE_URL
2021,29.08,1.UWT,Bretagne Classic,B. Cosnefroy,https://firstcycling.com/race.php?r=22&y=2021
2021,30.08-05.09,2.UWT,Renewi Tour,S. Colbrelli,https://firstcycling.com/race.php?r=21&y=2021
2021,19.09,1.UWT,Eschborn-Frankfurt,J. Philipsen,https://firstcycling.com/race.php?r=35&y=2021
2021,03.10,1.UWT,Paris-Roubaix,S. Colbrelli,https://firstcycling.com/race.php?r=8&y=2021
2021,09.10,1.UWT,Il Lombardia,T. Pogacar,https://firstcycling.com/race.php?r=24&y=2021
2022,20.02-26.02,2.UWT,UAE Tour,T. Pogacar,https://firstcycling.com/race.php?r=9800&y=2022
2022,26.02,1.UWT,Omloop Het Nieuwsblad,W. van Aert,https://firstcycling.com/race.php?r=53&y=2022
2022,05.03,1.UWT,Strade Bianche,T. Pogacar,https://firstcycling.com/race.php?r=54&y=2022
2022,06.03-13.03,2.UWT,Paris-Nice,P. Roglic,https://firstcycling.com/race.php?r=2&y=2022
2022,07.03-13.03,2.UWT,Tirreno-Adriatico,T. Pogacar,https://firstcycling.com/race.php?r=3&y=2022
2022,19.03,1.UWT,Milano-Sanremo,M. Mohoric,https://firstcycling.com/race.php?r=4&y=2022
2022,21.03-27.03,2.UWT,Volta Catalunya,S. Higuita,https://firstcycling.com/race.php?r=14&y=2022
2022,23.03,1.UWT,Classic Brugge-De Panne,T. Merlier,https://firstcycling.com/race.php?r=40&y=2022
2022,25.03,1.UWT,E3 Saxo Classic,W. van Aert,https://firstcycling.com/race.php?r=47&y=2022
2022,27.03,1.UWT,Gent - Wevelgem,B. Girmay,https://firstcycling.com/race.php?r=7&y=2022
2022,30.03,1.UWT,Dwars door Vlaanderen,M. van der Poel,https://firstcycling.com/race.php?r=75&y=2022
2022,03.04,1.UWT,Ronde van Vlaanderen,M. van der Poel,https://firstcycling.com/race.php?r=5&y=2022
2022,04.04-09.04,2.UWT,Itzulia Basque Country,D. Martinez,https://firstcycling.com/race.php?r=6&y=2022
2022,10.04,1.UWT,Amstel Gold Race,M. Kwiatkowski,https://firstcycling.com/race.php?r=9&y=2022
2022,17.04,1.UWT,Paris-Roubaix,D. van Baarle,https://firstcycling.com/race.php?r=8&y=2022
2022,20.04,1.UWT,La Flèche Wallonne,D. Teuns,https://firstcycling.com/race.php?r=10&y=2022
2022,24.04,1.UWT,Liège-Bastogne-Liège,R. Evenepoel,https://firstcycling.com/race.php?r=11&y=2022
2022,26.04-01.05,2.UWT,Tour de Romandie,A. Vlasov,https://firstcycling.com/race.php?r=12&y=2022
2022,01.05,1.UWT,Eschborn-Frankfurt,S. Bennett,https://firstcycling.com/race.php?r=35&y=2022
2022,06.05-29.05,2.UWT,Giro d'Italia,J. Hindley,https://firstcycling.com/race.php?r=13&y=2022
2022,05.06-12.06,2.UWT,Critérium du Dauphiné,P. Roglic,https://firstcycling.com/race.php?r=15&y=2022
2022,12.06-19.06,2.UWT,Tour de Suisse,G. Thomas,https://firstcycling.com/race.php?r=16&y=2022
2022,01.07-24.07,2.UWT,Tour de France,J. Vingegaard,https://firstcycling.com/race.php?r=17&y=2022
2022,30.07,1.UWT,San Sebastian Klasikoa,R. Evenepoel,https://firstcycling.com/race.php?r=18&y=2022
2022,30.07-05.08,2.UWT,Tour de Pologne,E. Hayter,https://firstcycling.com/race.php?r=19&y=2022
2022,19.08-11.09,2.UWT,Vuelta a España,R. Evenepoel,https://firstcycling.com/race.php?r=23&y=2022
2022,21.08,1.UWT,BEMER Cyclassics,M. Haller,https://firstcycling.com/race.php?r=20&y=2022
2022,28.08,1.UWT,Bretagne Classic,W. van Aert,https://firstcycling.com/race.php?r=22&y=2022
2022,09.09,1.UWT,GP Québec,B. Cosnefroy,https://firstcycling.com/race.php?r=59&y=2022
2022,11.09,1.UWT,GP Montreal,T. Pogacar,https://firstcycling.com/race.php?r=58&y=2022
2022,08.10,1.UWT,Il Lombardia,T. Pogacar,https://firstcycling.com/race.php?r=24&y=2022
2023,17.01-22.01,2.UWT,Tour Down Under,J. Vine,https://firstcycling.com/race.php?r=1&y=2023
2023,29.01,1.UWT,Cadel Evans Road Race,M. Mayrhofer,https://firstcycling.com/race.php?r=1172&y=2023
2023,20.02-26.02,2.UWT,UAE Tour,R. Evenepoel,https://firstcycling.com/race.php?r=9800&y=2023
2023,25.02,1.UWT,Omloop Het Nieuwsblad,D. van Baarle,https://firstcycling.com/race.php?r=53&y=2023
2023,04.03,1.UWT,Strade Bianche,T. Pidcock,https://firstcycling.com/race.php?r=54&y=2023
2023,05.03-12.03,2.UWT,Paris-Nice,T. Pogacar,https://firstcycling.com/race.php?r=2&y=2023
2023,06.03-12.03,2.UWT,Tirreno-Adriatico,P. Roglic,https://firstcycling.com/race.php?r=3&y=2023
2023,18.03,1.UWT,Milano-Sanremo,M. van der Poel,https://firstcycling.com/race.php?r=4&y=2023
2023,20.03-26.03,2.UWT,Volta Catalunya,P. Roglic,https://firstcycling.com/race.php?r=14&y=2023
2023,22.03,1.UWT,Classic Brugge-De Panne,J. Philipsen,https://firstcycling.com/race.php?r=40&y=2023
2023,24.03,1.UWT,E3 Saxo Classic,W. van Aert,https://firstcycling.com/race.php?r=47&y=2023
2023,26.03,1.UWT,Gent - Wevelgem,C. Laporte,https://firstcycling.com/race.php?r=7&y=2023
2023,29.03,1.UWT,Dwars door Vlaanderen,C. Laporte,https://firstcycling.com/race.php?r=75&y=2023
2023,02.04,1.UWT,Ronde van Vlaanderen,T. Pogacar,https://firstcycling.com/race.php?r=5&y=2023
2023,03.04-08.04,2.UWT,Itzulia Basque Country,J. Vingegaard,https://firstcycling.com/race.php?r=6&y=2023
2023,09.04,1.UWT,Paris-Roubaix,M. van der Poel,https://firstcycling.com/race.php?r=8&y=2023
2023,16.04,1.UWT,Amstel Gold Race,T. Pogacar,https://firstcycling.com/race.php?r=9&y=2023
2023,19.04,1.UWT,La Flèche Wallonne,T. Pogacar,https://firstcycling.com/race.php?r=10&y=2023
2023,23.04,1.UWT,Liège-Bastogne-Liège,R. Evenepoel,https://firstcycling.com/race.php?r=11&y=2023
2023,25.04-30.04,2.UWT,Tour de Romandie,A. Yates,https://firstcycling.com/race.php?r=12&y=2023
2023,01.05,1.UWT,Eschborn-Frankfurt,S. Kragh Andersen,https://firstcycling.com/race.php?r=35&y=2023
2023,06.05-28.05,2.UWT,Giro d'Italia,P. Roglic,https://firstcycling.com/race.php?r=13&y=2023
2023,04.06-11.06,2.UWT,Critérium du Dauphiné,J. Vingegaard,https://firstcycling.com/race.php?r=15&y=2023
2023,11.06-18.06,2.UWT,Tour de Suisse,M. Skjelmose,https://firstcycling.com/race.php?r=16&y=2023
2023,01.07-23.07,2.UWT,Tour de France,J. Vingegaard,https://firstcycling.com/race.php?r=17&y=2023
2023,29.07,1.UWT,San Sebastian Klasikoa,R. Evenepoel,https://firstcycling.com/race.php?r=18&y=2023
2023,29.07-04.08,2.UWT,Tour de Pologne,M. Mohoric,https://firstcycling.com/race.php?r=19&y=2023
2023,20.08,1.UWT,BEMER Cyclassics,M. Pedersen,https://firstcycling.com/race.php?r=20&y=2023
2023,23.08-27.08,2.UWT,Renewi Tour,T. Wellens,https://firstcycling.com/race.php?r=21&y=2023
2023,26.08-17.09,2.UWT,Vuelta a España,S. Kuss,https://firstcycling.com/race.php?r=23&y=2023
2023,03.09,1.UWT,Bretagne Classic,V. Madouas,https://firstcycling.com/race.php?r=22&y=2023
2023,08.09,1.UWT,GP Québec,A. De Lie,https://firstcycling.com/race.php?r=59&y=2023
2023,10.09,1.UWT,GP Montreal,A. Yates,https://firstcycling.com/race.php?r=58&y=2023
2023,07.10,1.UWT,Il Lombardia,T. Pogacar,https://firstcycling.com/race.php?r=24&y=2023
2023,12.10-17.10,2.UWT,Gree - Tour of Guangxi,M. Vader,https://firstcycling.com/race.php?r=7591&y=2023
2024,16.01-21.01,2.UWT,Tour Down Under,S. Williams,https://firstcycling.com/race.php?r=1&y=2024
2024,28.01,1.UWT,Cadel Evans Road Race,L. Pithie,https://firstcycling.com/race.php?r=1172&y=2024
2024,19.02-25.02,2.UWT,UAE Tour,L. Van Eetvelt,https://firstcycling.com/race.php?r=9800&y=2024
2024,24.02,1.UWT,Omloop Het Nieuwsblad,J. Tratnik,https://firstcycling.com/race.php?r=53&y=2024
2024,02.03,1.UWT,Strade Bianche,T. Pogacar,https://firstcycling.com/race.php?r=54&y=2024
